FORMAT	AM_GEOMETRY_OBJECT_LABEL_PREFLIGHT_V2
PLAN	C:\AM_TribonBridge\diagnostics\geometry-object-label-plan.json
PLAN_OPERATION_COUNT	12
CAPTURED_TEXT_COUNT	8
OPERATION_INDEX	OPERATION_ID	SOURCE_OBJECT_ID	EXPECTED_TEXT	MATCH_COUNT	NEAREST_DISTANCE	ALLOWED_DISTANCE	DECISION	TARGET_EXTENT	MATCH_DETAILS
1	label:LB-01	LIFTING_BEAM-01	LB-01	0		22.5	READY_TO_CREATE	35.0,209.0,185.0,243.0	
2	label:LB-02	LIFTING_BEAM-02	LB-02	0		17.4	READY_TO_CREATE	52.0,169.0,168.0,209.5	
3	label:LL-01	LIFTING_LUG-01	LL-01	0		12.0	READY_TO_CREATE	241.0,198.0,263.0,236.0	
4	label:LL-02	LIFTING_LUG-02	LL-02	0		12.0	READY_TO_CREATE	289.0,192.0,325.0,236.0	
5	label:LL-03	LIFTING_LUG-03	LL-03	0		12.0	READY_TO_CREATE	356.0,200.0,374.0,234.0	
6	label:PF-01	PIPE_FLANGE_FRONT-01	PF-01	0		12.0	READY_TO_CREATE	30.0,63.0,80.0,113.0	
7	label:PF-02	PIPE_FLANGE_FRONT-02	PF-02	0		12.0	READY_TO_CREATE	94.0,67.0,136.0,109.0	
8	label:PF-03	PIPE_FLANGE_FRONT-03	PF-03	0		12.0	READY_TO_CREATE	153.0,71.0,187.0,105.0	
9	label:PF-SIDE-01	PIPE_FLANGE_SIDE-01	PF-SIDE-01	0		12.0	READY_TO_CREATE	20.0,38.0,92.0,52.0	
10	label:SF-01	STRUCTURAL_FLANGE-01	SF-01	0		12.0	READY_TO_CREATE	239.0,54.0,297.0,122.0	
11	label:SF-02	STRUCTURAL_FLANGE-02	SF-02	0		12.0	READY_TO_CREATE	314.0,58.0,370.0,122.0	
12	label:SF-03	STRUCTURAL_FLANGE-03	SF-03	0		12.0	READY_TO_CREATE	372.0,55.0,390.0,112.0	

SUMMARY
READY_TO_CREATE_COUNT	12
ALREADY_APPLIED_COUNT	0
BLOCKED_DUPLICATE_COUNT	0
BLOCKED_TEXT_CONFLICT_COUNT	0
TEXT_PROPERTY_ERROR_COUNT	0
EXTENT_ERROR_COUNT	0
DRAWING_WRITE_PERFORMED	0
STATUS	SUCCESS
